location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citace,,False,,,
,Gramps,Gramps,,False,,,
,place,místo,,False,,,
,places,místa,,False,,,
,Events,Události,,False,,,
,bug,chyba,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,ladit,,False,,,
,bugs,chyby,,False,,,
,Tag,Štítek,,False,,,
,repository,archiv,,False,,,
,source,pramen,,False,,,
,view,pohled,,False,,,
,preferences,předvolby,,False,,,
,person,osoba,,False,,,
,Default,Výchozí,,False,,,
,Default,Výchozí,,False,1,,
,border,hranice,,False,,,
,Try to find,Pokusit se najít,,False,,,
,relation,vztah,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,základní relativní cesta k médiu,,False,,,
,Delimiter,Oddělovač,,False,,,
,funeral,pohřeb,,False,,,
,burial,pohřbení,,False,,,
,addon,doplněk,,False,,,
,plugin,zásuvný modul,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Ancestry,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,Archiv,,False,,,
,Person,Osoba,,False,"A ""person"" record within Gramps",,
