location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citácia,,False,,,
,Gramps,Gramps,,False,,,
,place,miesto,,False,,,
,places,miesta,,False,,,
,Events,Udalosti,,False,,,
,bug,chyba,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,ladiť,,False,,,
,bugs,chyby,,False,,,
,Tag,Značka,,False,,,
,View,Pohľad,,False,,,
,source,zdroj,,False,,,
,repository,archív,,False,,,
,reference,odkaz,,False,,,"בלשנות (תשפ""ג, 2022) אזכור לא: רִפְרוּר reference מילון תחביר [בלשנות]"
,siblings,súrodenci,,False,,,
,sibling,súrodenec,,False,,,
,Python,Python,,False,,,
,i.e,t . j.,,False,,,
,urls,stránky url,,False,,,
,URL,URL,,False,,,
,Whether,Či,,False,,,
,note,poznámka,,False,,,
,unrecognized,nespoznateľný,,False,,,
,Please...,Prosím...,,False,,,
,organized,usporiadaný,,False,,,
,ID,ID,,False,,,
,backlink,spätný odkaz,,False,,,
,organize,usporiadať,,False,,,
,regular expressions,regulárne výrazy,,False,,,
,view,pohľad,,False,,,
,neighborhood,susedstvo,,False,,,
,addon,doplnok,,False,,,
,preferences,predvoľby,,False,,,
,maximized,maximalizovaná,,False,,,
,log,protokol,,False,,,
,individual,jednotlivý,,False,,,
,coloring,vyfarbenie,,False,,,
,call name,volacie meno,,False,,,
,person,osoba,,False,,,
,colored,"farebný, vyfarbený",,False,,,
,media,"médium, médiá",,False,,,Mediaobjekti (kuvan metatiedot)
,spouse,manžel/-ka,,False,,,
,color,farba,,False,,,
,active person,aktívna osoba,,False,,,"Valittu henkilö, johon toiminto kohdistetaan"
,tag,značka,,False,,,
,centering,centrovanie,,False,,,
,home,"domovská, domov",,False,,,
,families,rodiny,,False,,,
,centered,zameraná,,False,,,
,remove,odstrániť,,False,,,
,family,rodina,,False,,,
,center,"ústredná, vycentrovať",,False,,,
,"person, individual, people","osoba, jedinec, ľudia",,False,,,
,capitalization,písanie veľkých písmen,,False,,,
,descendant,potomok,,False,,,
,canceling,rušenie,,False,,,
,ancestor,predok,,False,,,
,canceled,zrušené,,False,,,
,baptized,"pokrstený, pokrstená, pokrstenie",,False,,,
,analyzing,analýza,,False,,,
,Default,Predvolený,,False,,,
,Default,Predvolený,,False,1,,
,border,hranica,,False,,,
,Try to find,Pokúsiť sa nájsť,,False,,,
,relation,vzťah,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,základná relatívna cesta k médiám,,False,,,
,Delimiter,Oddeľovač,,False,,,
,funeral,pohreb,,False,,,
,burial,pochovanie,,False,,,
,plugin,zásuvný modul,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Ancestry,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,Archív,,False,,,
,Person,Osoba,,False,"A ""person"" record within Gramps",,
